# PTYA_CSV_VERSION: 1
# SIGNAL: name=time, group=General, row=0, col=0, dim=1
# SIGNAL: name=input, group=General, row=0, col=0, dim=1
# SIGNAL: name=output, group=General, row=0, col=0, dim=1
time,input,output
0.0849,0.539554,0.992722
0.085,0.877355,0.990942
0.0851,1.1302,0.991022
0.0852,0.785742,0.990815
0.0853,0.845519,0.989718
0.0854,0.624231,0.988122
0.0855,0.806484,0.986413
0.0856,0.709904,0.984984
0.0857,0.970121,0.984076
0.0858,1.22793,0.984796
0.0859,1.0399,0.98573
0.086,1.1418,0.986388
0.0861,0.805484,0.986308
0.0862,0.967949,0.985684
0.0863,0.937464,0.985478
0.0864,1.25057,0.986158
0.0865,0.654193,0.985946
0.0866,1.00707,0.984973
0.0867,1.13057,0.985499
0.0868,0.887127,0.985645
0.0869,1.17174,0.985919
0.087,1.45379,0.987966
0.0871,0.547754,0.988046
0.0872,0.801101,0.986082
0.0873,0.891198,0.985206
0.0874,1.14167,0.985401
0.0875,0.808223,0.985336
0.0876,1.13427,0.985247
0.0877,0.653306,0.984675
0.0878,0.882898,0.983318
0.0879,1.337,0.984111
0.088,0.720937,0.984392
0.0881,0.784097,0.98294
0.0882,1.14631,0.982829
0.0883,0.780277,0.982706
0.0884,0.644766,0.981014
0.0885,1.36164,0.981153
0.0886,1.08879,0.982682
0.0887,0.895847,0.982742
0.0888,0.854785,0.982069
0.0889,0.740646,0.980915
0.089,1.05677,0.9804
0.0891,0.959353,0.980573
0.0892,1.34984,0.981663
0.0893,0.958383,0.982743
